pl_name,ra,dec,sy_dist,sy_plx
Kepler-1778 b,287.3612976,43.7388000,1276.2900000,0.7550710
Kepler-1779 b,300.4174607,45.6054854,908.5010000,1.0729100
Kepler-178 b,287.1010275,46.8964033,716.0250000,1.3679200
Kepler-178 c,287.1010275,46.8964033,716.0250000,1.3679200
Kepler-178 d,287.1010275,46.8964033,716.0250000,1.3679200
Kepler-1780 b,294.0839282,42.8095104,790.5160000,1.2366100
Kepler-1781 b,291.7114906,42.3415097,962.6300000,1.0112700
Kepler-1782 b,280.9261620,44.0878036,305.7920000,3.2413000
Kepler-1783 b,297.0210984,41.3771655,264.0780000,3.7579100
Kepler-1784 b,297.9541684,44.6674491,883.0450000,1.1043600
Kepler-1785 b,295.7921797,47.6000699,745.7400000,1.3123100
Kepler-1786 b,292.5877743,38.5219827,863.9090000,1.1289200
Kepler-1787 b,289.0643042,47.1174041,778.6020000,1.2557200
Kepler-1788 b,291.2243829,45.7780993,560.4450000,1.7558100
Kepler-1789 b,282.8631419,41.7966332,611.4610000,1.6067700
Kepler-179 b,298.6636163,47.7619329,605.6800000,1.6223400
Kepler-179 c,298.6636163,47.7619329,605.6800000,1.6223400
Kepler-1790 b,294.5668577,46.0757312,1070.1700000,0.9058320
Kepler-1792 b,294.8400788,39.0859757,601.0290000,1.6355400
Kepler-1793 b,291.9129477,40.9539265,1189.8800000,0.8131870
Kepler-1794 b,300.6196594,45.7888068,561.2290000,1.7538100
Kepler-1796 b,301.5430397,44.6056251,825.8830000,1.1824400
Kepler-1797 b,292.4642406,45.9682799,1338.4900000,0.7185800
Kepler-1798 b,291.7262251,37.5289680,395.1960000,2.5024000
Kepler-1799 b,288.3086994,51.4783348,2254.6900000,0.4129420
Kepler-18 b,298.0794448,44.7462480,433.0470000,2.2804300
Kepler-18 c,298.0794448,44.7462480,433.0470000,2.2804300
Kepler-18 d,298.0794448,44.7462480,433.0470000,2.2804300
Kepler-180 b,295.5712566,49.7745140,695.6500000,1.4087900
Kepler-180 c,295.5712566,49.7745140,695.6500000,1.4087900
Kepler-1800 b,297.6513317,40.3524154,350.4550000,2.8246200
Kepler-1801 b,295.1640095,39.2014024,839.3320000,1.1630800
Kepler-1801 c,295.1640095,39.2014024,839.3320000,1.1630800
